date,mcap,WeightedReturn,WeightedTurnover,ValueWeightedReturn,ValueWeightedTurnover
20150506,13174471748.44924,-60581954.67808075,92651496.6057934,-0.004598435203689425,0.00703265363309154
20150507,13060813215.800413,66583269.33837259,88244474.5549084,0.005097942083562071,0.006756430330705136
20150508,13252366922.37646,182641990.41767704,84606234.05283228,0.01378183923577367,0.006384235702829484
20150511,13303690852.466375,-66797412.17869088,71587184.50908326,-0.00502096846051615,0.005381001806413119
20150512,13183327076.380201,-31788804.40684714,71967490.36113393,-0.002411288457206018,0.005458977839522308
20150513,13244784452.39997,5517487.073694012,76884468.57303536,0.00041657809483598186,0.005804886357293932
20150514,13291409732.975945,152485370.88571197,75638139.97725116,0.0114724753768892,0.005690753764786377
20150515,13379453667.979023,2629123.098291003,75254737.69497696,0.00019650451831103313,0.005624649523252487
20150518,13352258104.35917,36531522.34466287,69092148.12799755,0.0027359808400300666,0.005174566548068804
20150519,13408464715.83985,-12521728.465153357,78762789.34226619,-0.0009338674285625735,0.005874109453353088
20150520,13402133952.309778,-20344977.62799327,78634261.45434359,-0.001518040164378967,0.005867294099145415
20150521,13362423666.870337,41930821.288824484,80972695.92058837,0.003137965262453414,0.006059731223860626
20150522,13397643654.231787,-28312564.466627907,66005655.21629716,-0.0021132495532290925,0.004926661502558219
20150526,13356231797.913437,-135188175.43844333,85756903.52710983,-0.010121730251758805,0.006420740881459329
20150527,13285429398.91661,134283055.814663,77901886.34940241,0.010107543518737407,0.005863708579547688
20150528,13366752372.902905,-13622026.861130044,67708281.19624749,-0.0010190977195586141,0.0050654249669131145
20150529,13335569165.584637,-74409214.91818824,97067732.5471729,-0.0055797554640725465,0.007278859367898409
20150601,13317550839.688128,36626474.25629478,78121198.21513948,0.0027502409937976632,0.0058660334137661104
20150602,13263384968.587355,-17923289.14127066,70210204.79490659,-0.0013513359661745247,0.005293535923234571
20150603,13329182597.477623,36134043.864960626,71250967.49384645,0.0027108972062396784,0.0053454866397681265
20150604,13256112214.20077,-110037474.54486609,80438903.77961305,-0.008300885868104459,0.0060680614708015146
20150605,13211068411.441809,-23501440.453398965,74931365.3516052,-0.001778920502224097,0.005671862639565838
20150608,13181355987.958208,-93896250.07221453,74699277.69494852,-0.007123413566706885,0.005667040459508858
20150609,13091689422.311363,9951355.937235227,75645296.42935053,0.0007601277127973828,0.005778115718238235
20150610,13161735046.694824,165601768.0900922,81910242.69398168,0.012582062129542574,0.006223362072202706
20150611,13298157978.359556,17373151.189732246,76464083.56134264,0.0013064329073247613,0.005749975574494953
20150612,13211190882.401978,-94551858.87973315,63301515.67779655,-0.007156951990276769,0.004791507157929086
20150615,13073363857.762743,-56392099.87144823,75499836.68177591,-0.0043135110813858025,0.005775088760873536
20150616,13105683412.220158,77007323.39987001,66192445.05106628,0.005875872396556285,0.005050667177672424
20150617,13210069567.999395,22714048.100440603,71081803.55076237,0.0017194495444190566,0.005380880334116771
20150618,13218836566.262587,125166315.44448757,82054691.88317548,0.009468784549764377,0.006207406489357567
20150619,13308616435.37268,-69251424.43306907,110757631.44571589,-0.005203502916276648,0.008322249873498165
20150622,13350983417.773996,83693638.20165631,72120770.32461601,0.006268724601233197,0.005401906965789692
20150623,13367911923.437883,24842406.458666306,74075452.91145135,0.0018583610215975657,0.005541288223299503
20150624,13341216758.109495,-96846213.48344047,85042105.42245214,-0.007259173974860444,0.006374389005467516
20150625,13313208531.928333,-33993100.41221449,72834715.76924674,-0.0025533364350667767,0.00547086118230412
20150626,13246721787.839634,-18544777.836449876,116327301.96789472,-0.0013999522397665064,0.008781591689702587
20150629,13070865590.821865,-273514968.4149715,87147843.8635871,-0.020925543646247033,0.00666733532359026
20150630,13038627204.515518,35212164.51497736,86446551.13214524,0.002700603672661393,0.006630034724990619
20150701,13053132125.333376,82543566.1253029,77258734.33344842,0.006323659741795094,0.005918788961272024
20150702,13066706783.657505,-4984596.620630005,64704260.33988485,-0.0003814730599805168,0.004951841455630602
20150706,12918168496.87675,-46078767.0111972,76714771.0729817,-0.003566973679151015,0.005938517607316329
20150707,13088421627.916718,65220369.18246933,98587843.48087078,0.004983058388290204,0.007532447095881262
20150708,13028944275.93705,-222563959.87707257,86564817.05164102,-0.01708227122347299,0.006644039242037146
20150709,13080674943.119379,31523362.984464176,85573188.4286606,0.0024099186870357872,0.006541955120876489
20150710,13098150202.290758,175209508.86946294,75520209.06304172,0.013376660533242338,0.0057657156084401796
20150713,13221940836.842436,158837340.2373977,76291829.93609565,0.01201316374028868,0.005770093126079597
20150714,13279097669.158522,73848856.27788973,78614195.30229674,0.005561285722704487,0.005920145875941766
20150715,13354773040.497318,-5263305.028422008,83017035.99455139,-0.0003941141502338858,0.006216282054573944
20150716,13430264749.507431,121499242.56896226,89662021.15271689,0.009046675165016265,0.0066761171745333865
20150717,13498985617.32704,64150937.60276985,97394190.79860353,0.0047522783875276475,0.0072149266292713295
20150720,13490301938.72406,14387512.14949267,86234982.42029205,0.001066507793142358,0.006392368592785428
20150721,13508644489.162273,-58492866.70820295,90812961.50239362,-0.004330032280820674,0.006722581349686944
20150722,13377729269.987858,-52114230.27549282,103009251.21775989,-0.003895596122759638,0.007700055004764899
20150723,13447571331.56084,-79895896.71493988,93518609.45143524,-0.0059412881884052795,0.006954312205948393
20150724,13384802999.343605,-134292253.07394344,108130843.10339998,-0.010033188615516357,0.008078627911722178
20150727,13130483464.140686,-79893427.25180735,100479873.659945,-0.006084576205437986,0.0076524123376230015
20150728,13186470366.736517,162633525.24454513,94007513.66969045,0.012333362963814468,0.007129088456212571
20150729,13292618906.13228,88213895.11013918,93810603.16652542,0.006636306640028887,0.007057345420716741
20150730,13322015933.33597,-6472973.773036413,84038019.87971124,-0.00048588545498125024,0.006308205927709565
20150731,13411275856.39071,-47919800.525560185,85424218.9283581,-0.0035730978199755357,0.006369581823764511
20150803,13341560214.221941,-31304628.42214818,80056105.1076199,-0.0023463993655538,0.006000505474785555
20150804,13289420130.133139,-40742896.07441644,87855368.22377145,-0.003065814435502256,0.006610925635841967
20150805,13305654482.168055,38688285.21440653,95270257.60931869,0.0029076574373891727,0.007160133140162161
20150806,13304769543.222797,-125426589.77023458,100193038.15953647,-0.009427189953404684,0.0075306105704456144
20150807,13143613566.090221,-45569720.56404027,76195528.85599825,-0.003467061804191168,0.005797152242255387
20150810,13203240523.444092,166734143.5784246,74280810.05788985,0.012628274345405295,0.005625952956472655
20150811,13189086192.064117,-132822828.7633742,89851841.4389299,-0.010070661972267175,0.006812590359216381
20150812,13051470058.239075,7145146.783007267,101671185.90349017,0.0005474591560279227,0.007790017940493043
20150813,13160261883.37517,-14576499.45667135,73056409.14565489,-0.0011076146953492814,0.005551288400874766
20150814,13125457203.256765,47452544.104132816,62319939.28763323,0.0036153059942444226,0.004748020455407073
20150817,13138145147.169888,73345250.38370137,63703964.177563466,0.005582618365234061,0.00484877914378089
20150818,13218748904.42462,-46674648.82363004,65920711.24404008,-0.0035309429932515748,0.00498691001097501
20150819,13146292624.900618,-108597047.84448151,80633971.86287639,-0.008260659559546545,0.006133590219203413
20150820,12983481680.993458,-288850109.3182857,102000964.21343127,-0.022247507749876824,0.007856210431039515
20150821,12654011239.646402,-427949946.3477524,145709476.05848774,-0.033819311382223084,0.011514884355560235
20150824,11588205411.211836,-452041670.8440445,176570042.64498368,-0.03900877269630417,0.015237048048367213
20150825,12319159169.40136,-145563896.7167365,136393435.26853204,-0.011816057793805587,0.01107165135160438
20150826,12069261876.548502,518917038.0409332,131880562.03081033,0.04299492739064919,0.010926978251011715
20150827,12425547049.693497,305345008.0463062,119107778.78254776,0.02457396900314648,0.009585717096092426
20150828,12500729746.190308,2992167.7713882904,84200969.4561052,0.00023935944797944106,0.006735684329290143
20150831,12470293115.983564,-107381796.55533366,86243035.4459367,-0.008611008222228479,0.006915878772359913
20150901,12146450564.12113,-361186322.26073813,109266544.98709625,-0.029735956224745248,0.008995759247549561
20150902,12233670876.200686,241148235.58254537,91523352.51755457,0.019711845939199966,0.007481266534283147
20150903,12350620426.624796,87809.09103165788,78088527.21351156,7.109690687470552e-06,0.006322640038809108
20150904,12129492278.15114,-185250742.80698732,77436853.32354675,-0.015272753266076897,0.006384179283664972
20150908,12315874849.63289,311556248.0943561,85016029.25529875,0.025297126830063795,0.006902963069475563
20150909,12527055073.297056,-172387605.01951742,88838185.12437901,-0.01376122352866338,0.0070917054810231035
20150910,12222059931.744457,75866778.06754711,80174195.41566572,0.006207364265208494,0.006559794000635573
